Id,Name,Surname,Division,Manager,Gender,Ethnicity,Disability,Veteran,Age,Nationality
2810,Hayden,Whinter,Operations,No,Male,White,No,No,41,Greek
2811,Lucas,Beal,Finance,No,Female,White,No,No,44,Chilean
2812,Camellia,Clarke,Marketing,No,Female,White,No,No,50,Korean
2813,Cecilia,Evans,Sales,No,Male,White,No,No,37,Canadian
2814,Lara,Collins,Marketing,No,Male,Latin,Yes,No,36,Canadian
2815,Rebecca,Mcguire,IT,No,Female,White,No,No,28,Irish
2816,Aileen,Gunn,Sales,No,Female,Latin,No,No,28,Japanese
2817,Alexander,Wood,Marketing,No,Male,White,No,No,32,Canadian
2818,Meredith,Irwin,IT,No,Female,White,Yes,No,29,Canadian
2819,Diane,Bullock,HR,No,Male,White,No,No,39,Korean
2820,Bridget,Kent,Marketing,No,Male,White,No,No,29,Canadian
2821,Penny,Dwyer,HR,No,Female,White,Yes,No,24,Portuguese
2822,Phoebe,Thorpe,Sales,No,Male,Black,No,No,32,Canadian
2823,Jack,Osman,Marketing,No,Male,Asian,No,No,43,Indian
2824,Margaret,Ebden,IT,No,Male,Asian,No,No,32,Indonesian
2825,Evelynn,Bishop,Marketing,No,Male,White,No,No,28,American
2826,Daniel,Sherry,IT,No,Female,White,No,No,48,American
2827,Jacqueline,Hamilton,IT,No,Male,White,No,No,34,English
2828,Isabel,Hastings,RD,No,Female,White,No,No,36,American
2829,Chester,Jones,IT,No,Male,Asian,No,No,40,Canadian
2830,Hanna,Santos,Marketing,No,Female,White,No,No,30,Canadian
2831,Erick,Cobb,IT,No,Other,White,No,No,41,American
2832,Alma,Watson,RD,No,Female,White,No,No,27,German
2833,Makena,Kidd,Operations,No,Transgender,White,No,No,33,Bangladeshi
2834,Gladys,Radley,Finance,No,Female,White,No,No,38,Canadian
2835,Percy,Martin,IT,No,Male,White,Yes,No,40,Chilean
2836,Valerie,Rose,RD,No,Female,White,No,No,37,Canadian
2837,Tyson,Chapman,RD,No,Prefer not to say,White,No,No,40,British
2838,Mara,Neal,Sales,Yes,Male,White,No,No,36,Australian
2839,Andrea,Rowan,HR,No,Male,White,No,No,56,Canadian
2840,Harry,Oldfield,Marketing,No,Male,White,Yes,No,38,Bangladeshi
2841,Shelby,Thompson,IT,No,Male,Asian,No,No,56,Pakistani
2842,Carter,Waterhouse,Marketing,No,Male,White,No,No,48,English
2843,Marissa,Brennan,Finance,No,Male,White,No,No,51,Canadian
2844,Kassandra,Robertson,IT,No,Male,Black,Yes,No,55,Colombian
2845,Martin,Reese,Finance,No,Male,White,No,No,25,Canadian
2846,Bryon,Middleton,Marketing,No,Male,Asian,No,No,32,Indian
2847,Alan,Brock,Sales,No,Female,White,No,No,31,Ukrainian
2848,Sarah,Blackburn,IT,No,Female,White,Yes,No,39,Canadian
2849,Peter,Knight,Operations,No,Male,White,No,No,26,Colombian
2850,Tyler,Pond,Finance,No,Female,Asian,No,No,28,Canadian
2851,Mike,Calderwood,Sales,No,Female,White,No,No,31,Canadian
2852,Carmen,Murray,Marketing,No,Female,Black,No,No,64,American
2853,Natalie,Mason,Operations,No,Male,White,No,No,26,Greek
2854,Liam,Stewart,IT,No,Female,Latin,No,No,36,American
2855,Celia,Oatway,Marketing,No,Female,White,No,No,38,English
2856,Amy,Flynn,Finance,No,Male,Prefer not to say,Yes,No,24,Algerian
2857,Ivette,Vinton,IT,No,Male,White,No,No,28,Canadian
2858,Jessica,Becker,Sales,No,Male,White,No,No,35,Canadian
2859,Jack,Sanchez,IT,Yes,Male,White,No,No,34,Canadian
2860,Michael,Darcy,Marketing,No,Male,White,No,No,52,Korean
2861,Daniel,Gray,Marketing,No,Prefer not to say,White,No,No,37,Canadian
2862,Mavis,Baldwin,Finance,No,Male,White,No,No,29,Canadian
2863,Brad,Anderson,Finance,No,Female,Asian,No,No,44,Russian
2864,Helen,Burge,HR,No,Male,White,No,No,56,Canadian
2865,Nick,Cox,IT,No,Male,White,No,No,28,Indian
2866,Nathan,Poole,Sales,No,Prefer not to say,White,Yes,No,51,Greek
2867,Chester,Rose,Finance,No,Male,White,No,No,28,Canadian
2868,Claire,Fleming,Sales,No,Female,White,No,No,33,British
2869,Keira,Walsh,Sales,No,Male,Asian,No,No,64,Korean
2870,Daria,Eyres,Marketing,No,Male,Asian,No,No,35,Indian
2871,Tania,Lee,Sales,No,Male,White,No,No,38,Canadian
2872,Agnes,Wilkinson,Marketing,No,Male,White,No,No,40,Indian
2873,Chester,Armstrong,Finance,No,Female,White,No,No,44,Canadian
2874,Victoria,Flanders,Marketing,Yes,Male,Asian,Yes,No,39,Canadian
2875,Macy,Ingham,Sales,Yes,Female,Latin,No,No,60,Indian
2876,Mona,Wise,IT,No,Male,White,No,No,29,Canadian
2877,Percy,Wren,Sales,Yes,Female,White,No,No,31,Indonesian
2878,Gil,Chappell,Sales,Yes,Female,White,Prefer not to say,No,27,Russian
2879,Caleb,Hobbs,IT,No,Female,White,Yes,No,34,Indian
2880,Jade,Martin,IT,No,Male,White,No,No,38,American
2881,Analise,Leslie,RD,No,Female,White,No,No,57,Canadian
2882,Rhea,Lloyd,Marketing,No,Male,Latin,No,No,31,American
2883,Taylor,Clarkson,IT,No,Prefer not to say,White,No,No,26,Canadian
2884,Erick,Boden,HR,Yes,Male,White,No,No,45,American
2885,Wade,Graham,Operations,No,Male,White,No,No,39,American
2886,Julianna,Rothwell,IT,No,Male,White,No,No,40,Canadian
2887,Luke,Briggs,IT,No,Male,Middle Eastern,No,No,46,Canadian
2888,Victoria,Seymour,Sales,No,Male,Asian,No,No,40,Canadian
2889,Martin,Edwards,Operations,No,Male,Asian,No,No,36,Haitian
2890,Ramon,Gordon,Marketing,No,Transgender,White,Yes,No,43,Australian
2891,Martin,Farrant,Sales,No,Other,White,No,No,42,Saudi
2892,Tom,Brooks,Sales,No,Male,White,No,No,36,Canadian
2893,Carter,Barrett,IT,No,Male,Other,No,No,45,Nicaraguan
2894,Blake,Hastings,Sales,No,Male,White,Yes,No,32,Greek
2895,Blake,Richardson,IT,No,Male,White,No,No,35,Canadian
2896,Adelaide,Whatson,IT,No,Female,White,No,No,63,Indian
2897,George,Michael,Marketing,No,Male,White,No,No,29,Korean
2898,Mary,Allen,IT,No,Male,White,No,Yes,28,Ghanaian
2899,Claire,Stone,Finance,No,Prefer not to say,White,No,No,25,Romanian
2900,Rose,Clarkson,Sales,No,Female,White,No,No,37,Chinese
2901,Sasha,Gordon,Operations,No,Female,White,No,No,57,Australian
2902,Liam,Eastwood,HR,No,Male,White,No,No,51,American
2903,Nate,Blackburn,Sales,No,Male,White,No,No,31,British
2904,Hanna,Andersson,Sales,No,Male,Latin,No,No,64,Canadian
2905,Doris,Clarke,Sales,Yes,Male,Asian,No,No,27,Indonesian
2906,Eryn,Dempsey,Marketing,No,Male,White,No,No,36,Canadian
2907,Ramon,Stubbs,Finance,No,Non-binary/non-conforming,White,No,No,44,Canadian
2908,Renee,Ellwood,Finance,No,Female,White,No,No,33,Canadian
2909,Nathan,Dann,Sales,No,Other,White,No,No,43,Polish
2910,Cedrick,Farrell,Marketing,No,Male,White,No,No,26,Chilean
2911,Teagan,Holt,Marketing,No,Male,White,Yes,No,35,American
2912,Boris,Keys,Operations,No,Female,White,No,No,36,Canadian
2913,Taylor,Reese,RD,No,Male,White,Yes,No,29,Canadian
2914,Denis,Stewart,HR,No,Female,White,No,No,30,French
2915,Dorothy,Thomson,Operations,No,Female,White,No,No,30,Moroccan
2916,Nicole,Thomas,Operations,No,Prefer not to say,Black,No,No,29,Canadian
2917,Tom,Uttley,IT,No,Female,White,No,No,38,Ukrainian
2918,Deborah,Welsch,RD,No,Prefer not to say,Black,No,No,63,British
2919,Julian,Weldon,Sales,No,Male,White,No,No,36,Canadian
2920,Joy,Edwards,Sales,No,Female,White,Yes,No,25,Indonesian
2921,Brad,Darcy,HR,No,Female,White,No,No,34,Canadian
2922,Gabriel,Campbell,IT,No,Female,Asian,No,No,34,Canadian
2923,Maya,Murphy,IT,No,Female,White,No,No,53,Indonesian
2924,Rufus,Williams,Marketing,No,Female,White,Prefer not to say,No,34,Sri Lankan
2925,Georgia,Seymour,Sales,No,Female,White,Yes,No,56,Canadian
2926,Eduardo,Stewart,Marketing,No,Male,White,No,No,37,Canadian
2927,Emmanuelle,Bradshaw,Operations,No,Male,White,No,No,30,South African
2928,Matt,Morgan,Sales,Yes,Male,White,No,No,41,Canadian
2929,Marjorie,Radley,Marketing,No,Female,White,No,No,29,Polish
2930,Marilyn,Grant,Finance,No,Female,White,No,No,45,Polish
2931,Martin,Sheldon,IT,No,Male,White,No,No,34,Jordanian
2932,Chuck,Price,Operations,No,Female,White,Yes,No,37,Mexican
2933,Boris,Logan,IT,No,Male,White,No,No,28,British
2934,Mark,Hill,Finance,Yes,Female,White,No,No,31,Canadian
2935,Lexi,Wills,Marketing,No,Male,White,No,No,30,Canadian
2936,Harvey,Shepherd,Sales,No,Female,White,No,No,34,Canadian
2937,Celia,Neville,Finance,No,Male,White,No,No,25,Mexican
2938,Nathan,Scott,Finance,No,Female,White,No,No,43,German
2939,Rose,Parr,Operations,No,Male,Asian,No,No,51,Canadian
2940,Nick,Flanders,IT,Yes,Male,White,No,No,41,Canadian
2941,George,Judd,Sales,No,Male,Asian,Yes,No,37,Canadian
2942,Alex,Kerr,Sales,No,Female,White,No,No,25,Uruguayan
2943,Michaela,Graham,Sales,No,Male,White,No,No,36,Canadian
2944,Isla,Pitt,Marketing,No,Male,White,No,No,27,Canadian
2945,Manuel,Ross,IT,No,Prefer not to say,White,No,No,27,Canadian
2946,Bob,Lucas,Finance,No,Male,White,No,No,43,Canadian
2947,Alan,Graham,Operations,No,Male,Asian,Yes,No,38,Indian
2948,Hank,Little,RD,Yes,Male,White,No,No,32,American
2949,Darlene,Edler,Finance,No,Female,White,Yes,No,42,Korean
2950,Elijah,Becker,IT,No,Female,Asian,No,No,35,Canadian
2951,Christine,Marshall,Sales,Yes,Male,White,No,No,32,Canadian
2952,Maxwell,Alexander,Marketing,No,Male,White,No,No,60,Canadian
2953,Rae,Simmons,HR,No,Male,White,No,No,43,Canadian
2954,Andie,Morgan,Operations,No,Female,White,No,No,33,Canadian
2955,Eduardo,Snow,Finance,No,Prefer not to say,White,No,No,39,Indian
2956,Hank,Blackwall,Operations,No,Male,White,No,No,27,Indian
2957,Kieth,Gregory,Sales,No,Female,White,No,No,42,Canadian
2958,Ronald,Plant,Sales,No,Male,White,No,No,43,Canadian
2959,Denny,Becker,Marketing,No,Male,White,No,No,65,Slovak
2960,Barry,Eaton,Finance,No,Male,White,No,No,26,Indian
2961,Belinda,Aldridge,Operations,No,Female,White,No,No,61,American
2962,Rebecca,Squire,Marketing,No,Male,White,No,No,43,Canadian
2963,Jamie,Adler,Sales,No,Female,Asian,No,No,26,Canadian
2964,Marie,Emmett,IT,No,Male,White,No,No,39,Indian
2965,Eduardo,Norman,IT,No,Female,White,No,No,26,Russian
2966,Marjorie,Hudson,IT,No,Female,White,No,No,49,Canadian
2967,Adina,Farrow,Marketing,No,Male,White,Prefer not to say,No,34,Korean
2968,Sebastian,Moss,HR,No,Female,Asian,No,No,38,Ukrainian
2969,Hayden,Wilton,Marketing,No,Transgender,Black,No,No,39,American
2970,Josh,Hooper,IT,No,Male,White,No,No,52,Canadian
2971,Noah,Shepherd,Finance,No,Female,White,No,No,48,Cuban
2972,Anthony,Johnson,Sales,No,Female,White,No,No,48,American
2973,Johnny,Vane,Finance,No,Female,White,No,No,33,Korean
2974,Caitlyn,Powell,Sales,No,Male,White,No,No,36,British
2975,Javier,Grady,Marketing,No,Male,White,No,No,65,Korean
2976,Penelope,Glass,IT,No,Female,White,No,Prefer not to say,36,Chilean
2977,Angelique,Wilcox,Marketing,No,Male,White,No,No,42,Canadian
2978,Livia,Rogers,Operations,Yes,Prefer not to say,White,No,No,42,Canadian
2979,Jackeline,Rogers,Marketing,No,Other,White,Yes,No,55,Canadian
2980,Moira,Janes,IT,No,Male,White,Yes,No,27,American
2981,Jackeline,Fisher,Sales,No,Male,White,No,No,37,Chilean
2982,Elise,Lewis,Operations,Yes,Female,White,No,No,32,Canadian
2983,Audrey,Mackenzie,Sales,No,Male,Asian,No,No,32,English
2984,Peter,Norman,IT,No,Female,White,No,No,31,Canadian
2985,Leilani,Clark,Marketing,No,Male,White,No,No,27,Canadian
2986,Kimberly,Duvall,Sales,No,Female,White,No,No,38,Japanese
2987,Marvin,Moran,Sales,No,Female,Asian,Yes,No,57,Indian
2988,Matt,Coll,HR,No,Male,White,No,No,40,Indian
2989,John,Baxter,Operations,No,Male,White,No,No,57,Greek
2990,Peter,Rowlands,Marketing,No,Female,White,No,No,41,Bangladeshi
2991,Rocco,Pope,Sales,No,Female,White,Yes,No,40,Ukrainian
2992,Bart,Gunn,IT,No,Male,Asian,No,No,41,American
2993,Bart,Ramsey,Finance,No,Female,Black,No,No,57,Indian
2994,Eden,Jeffery,RD,No,Male,White,Yes,No,44,Australian
2995,Robyn,Purvis,Sales,No,Male,White,No,No,36,Indian
2996,Keira,Nurton,IT,No,Female,White,Yes,No,45,Canadian
2997,Kieth,Hastings,IT,Yes,Female,White,No,No,50,Canadian
2998,Peyton,Dallas,Sales,No,Female,Latin,Yes,No,25,Canadian
2999,Benny,Lane,Sales,No,Male,Black,No,No,29,German
3000,Erick,Clifford,IT,No,Female,White,No,No,28,Indian
3001,Kurt,Dann,Operations,Yes,Male,White,Prefer not to say,No,33,Moroccan
3002,Chadwick,Stanley,Finance,No,Male,Asian,No,No,32,Malaysian
3003,Gwen,Upton,IT,Yes,Male,Asian,No,No,44,Canadian
3004,Dalia,Tindall,HR,No,Male,White,Yes,No,32,American
3005,Ada,Morgan,Sales,No,Female,White,No,No,54,Canadian
3006,Peyton,Alcroft,Sales,No,Male,White,No,No,39,Canadian
3007,Jacob,Ramsey,IT,No,Male,White,No,No,36,British
3008,Shay,Gaynor,IT,No,Female,White,No,No,28,Canadian
3009,Aeris,Evans,RD,Yes,Male,White,No,No,34,American
3010,Enoch,Griffiths,IT,No,Male,Asian,Yes,No,40,Indian
3011,Johnny,Taylor,RD,No,Female,White,No,No,41,Canadian
3012,Rae,Rehman,Sales,No,Male,White,No,No,42,Mexican
3013,Hank,Stewart,Sales,No,Male,White,No,No,50,Canadian
3014,Danny,Antcliff,IT,No,Male,White,Yes,No,45,German
3015,Jasmine,Jackson,Marketing,No,Male,Asian,Yes,No,55,Canadian
3016,Bridget,Oatway,RD,No,Male,White,No,No,33,Canadian
3017,Julianna,White,Sales,No,Female,White,Yes,No,53,American
3018,Martha,Poole,Marketing,No,Male,Asian,No,No,47,Korean
3019,George,Myatt,Sales,No,Female,White,No,No,33,Canadian
3020,Michaela,Lee,Marketing,Yes,Female,Middle Eastern,No,No,34,Canadian
3021,Logan,Antcliff,IT,No,Female,White,No,No,34,Canadian
3022,Ada,Benson,Sales,No,Male,White,No,No,53,British
3023,Maria,Davies,IT,No,Transgender,White,No,No,32,Canadian
3024,Rufus,Nurton,Operations,No,Male,White,No,No,35,Chinese
3025,Nate,Lane,Finance,No,Prefer not to say,Middle Eastern,No,No,25,Canadian
3026,Matthew,Healy,IT,No,Male,Black,Yes,No,37,Canadian
3027,Rocco,Morrison,Marketing,No,Male,Asian,No,No,31,Canadian
3028,Janelle,Quinn,Operations,No,Male,White,No,No,24,Peruvian
3029,Maggie,Locke,HR,No,Male,White,Yes,No,33,Ukrainian
3030,Kieth,Pickard,Sales,No,Male,White,No,No,37,American
3031,Charlotte,Anderson,Sales,Yes,Male,Middle Eastern,No,No,52,American
3032,Liam,Alldridge,HR,No,Male,White,No,No,27,South African
3033,Sadie,Wren,Operations,Yes,Male,Middle Eastern,No,No,58,Canadian
3034,Adina,Hale,Finance,Yes,Female,Other,No,No,55,Canadian
3035,Jacqueline,Lunt,IT,No,Male,White,No,No,48,English
3036,Goldie,Reynolds,Finance,Yes,Female,White,No,No,34,Canadian
3037,Maxwell,Moore,Finance,No,Male,White,No,No,38,Canadian
3038,Mya,Farmer,Operations,No,Male,White,No,No,39,Canadian
3039,Nate,Bryant,IT,No,Prefer not to say,White,Yes,No,39,Maltese
3040,Luke,Fields,Operations,No,Prefer not to say,White,Prefer not to say,No,28,Polish
3041,Enoch,Vollans,IT,No,Female,Asian,No,No,61,Indian
3042,Ilona,Andrews,IT,No,Male,White,Yes,No,46,Canadian
3043,Manuel,Rixon,Operations,No,Male,Asian,No,No,24,Canadian
3044,Daron,Skinner,IT,No,Female,Black,No,No,31,Russian
3045,Marvin,Norman,IT,No,Other,White,No,No,35,Canadian
3046,Jazmin,Connell,IT,No,Female,Asian,Yes,No,60,American
3047,Alexander,Pratt,HR,No,Male,White,No,No,41,Vietnamese
3048,William,Gallacher,Finance,Yes,Male,White,Yes,No,65,Canadian
3049,Johnny,Mcgregor,IT,No,Prefer not to say,White,Yes,No,29,Canadian
3050,Elena,Blackwall,Finance,No,Male,White,No,No,63,Canadian
3051,Daniel,Hardwick,IT,No,Female,White,No,No,38,Canadian
3052,Allison,Cavanagh,Sales,Yes,Female,White,No,No,56,Canadian
3053,Marissa,Doherty,IT,No,Male,White,No,No,28,Canadian
3054,Ryan,Dubois,Finance,No,Prefer not to say,White,No,No,32,Canadian
3055,Barry,Simpson,Finance,Yes,Male,Asian,No,No,29,American
3056,Penelope,Bailey,Sales,No,Male,White,No,No,61,Canadian
3057,Harry,Pond,Sales,No,Female,White,No,No,36,Canadian
3058,Winnie,Robinson,Operations,No,Female,White,Yes,No,32,Canadian
3059,Marjorie,Collingwood,Sales,No,Female,Asian,No,No,40,Canadian
3060,Melinda,Hamilton,Sales,Yes,Female,Asian,No,No,48,Canadian
3061,Chad,Hunter,Sales,No,Male,Middle Eastern,No,No,34,Libyan
3062,Kieth,Richards,Sales,No,Male,Asian,No,No,27,Canadian
3063,William,Flynn,HR,No,Male,White,Yes,No,39,Chilean
3064,Daron,Blythe,Operations,Yes,Male,White,No,No,42,Indian
3065,Alex,Newton,Sales,No,Female,White,No,No,34,Canadian
3066,Priscilla,Harper,Sales,No,Prefer not to say,White,No,No,38,Canadian
3067,Julius,Booth,Marketing,No,Male,Asian,Yes,No,29,American
3068,Jack,Pearce,Finance,No,Male,Middle Eastern,No,No,31,Canadian
3069,Russel,Watson,Sales,No,Male,Middle Eastern,No,No,36,Canadian
3070,Evelynn,Jarrett,IT,No,Male,White,No,No,54,Canadian
3071,Carmen,Tait,Marketing,No,Male,White,No,No,38,Canadian
3072,Martha,Lyon,HR,No,Female,Asian,No,No,46,Ukrainian
3073,Lauren,Donovan,Sales,No,Prefer not to say,White,No,No,63,Indian
3074,Emery,Glass,IT,No,Male,White,No,No,33,Canadian
3075,Rufus,Nanton,IT,No,Female,White,Yes,No,40,Emirati
3076,Rufus,Hood,Sales,No,Male,Asian,No,No,50,American
3077,Claire,Andersson,Sales,No,Male,White,No,Prefer not to say,34,Moroccan
3078,Gwen,Casey,Sales,No,Male,White,Yes,No,37,Canadian
3079,Leroy,Baker,Finance,No,Female,White,No,No,39,American
3080,Wade,West,Sales,No,Prefer not to say,White,No,No,48,Canadian
3081,Cristal,Lindop,IT,No,Female,White,No,No,26,Canadian
3082,Wade,Clark,Sales,No,Male,Asian,No,No,64,Canadian
3083,William,Jackson,IT,No,Male,White,No,No,63,Indian
3084,Camellia,Vangness,Operations,No,Prefer not to say,Black,No,No,35,Canadian
3085,Nathan,Ranks,Sales,No,Prefer not to say,Asian,No,No,46,Syrian
3086,Josh,Brooks,Sales,No,Male,Other,No,No,37,Philippine
3087,Estrella,Emmett,Marketing,No,Male,White,Yes,No,32,Ukrainian
3088,Marilyn,Furnell,IT,No,Female,White,No,No,30,Canadian
3089,Rihanna,Jordan,Marketing,No,Male,Asian,No,No,27,English
3090,Alice,Parr,Finance,No,Female,White,No,No,49,Philippine
3091,Bethany,Nelson,HR,Yes,Female,White,No,No,43,Canadian
3092,Bryon,West,Operations,No,Prefer not to say,White,No,No,31,Canadian
3093,Natalie,Morrow,RD,No,Male,White,No,No,31,Canadian
3094,Cassidy,Gaynor,IT,No,Male,White,Prefer not to say,No,37,Canadian
3095,Macy,Dann,Finance,No,Male,White,Yes,No,30,Ukrainian
3096,Dani,Ellis,Marketing,Yes,Male,White,No,No,28,German
3097,Anthony,Judd,Operations,No,Female,White,No,No,41,Canadian
3098,Noah,Nicholls,Finance,No,Male,White,No,No,32,German
3099,Hayden,Higgs,Marketing,Yes,Male,White,Yes,No,40,Canadian
3100,Nicholas,Taylor,Operations,No,Male,Asian,No,No,41,Canadian
3101,Zoe,Norton,Sales,No,Male,White,No,No,32,British
3102,Colleen,Styles,IT,No,Male,White,Yes,No,29,Indian
3103,Nicole,Vaughn,IT,Yes,Other,White,No,No,32,Nepalese
3104,Alice,Graham,Marketing,No,Male,White,No,No,37,Canadian
3105,Tom,Sinclair,IT,No,Male,Asian,Yes,No,36,Indian
3106,Mandy,Cassidy,Finance,No,Male,White,No,No,36,Canadian
3107,Kendra,Douglas,Marketing,No,Male,Middle Eastern,No,No,24,Indian
3108,Samantha,Morris,IT,No,Female,White,No,No,29,Haitian
3109,Sabrina,Jacobs,Sales,No,Female,White,No,No,44,American
3110,Gil,Rixon,IT,No,Male,Asian,No,No,32,Korean
3111,Shannon,Reid,IT,No,Male,White,Prefer not to say,No,30,Indian
3112,Ruby,Whitehouse,Sales,No,Non-binary/non-conforming,White,Yes,No,41,Indian
3113,Shannon,Eastwood,IT,No,Male,Asian,No,No,27,Greek
3114,Diane,Shepherd,Operations,No,Male,White,Yes,No,37,American
3115,Logan,Morris,Marketing,No,Female,Asian,No,No,55,Indian
3116,Jack,Downing,Operations,No,Male,White,No,No,37,Algerian
3117,Lucy,Herbert,RD,No,Male,White,Prefer not to say,No,26,Honduran
3118,Sabrina,Larsen,HR,No,Male,White,Yes,No,53,Lithuanian
3119,Peter,Plumb,Marketing,No,Female,White,No,No,30,Indian
3120,Valerie,Simpson,Finance,No,Prefer not to say,Latin,No,No,25,American
3121,Francesca,Boyle,IT,No,Male,White,Yes,No,25,Canadian
3122,Hannah,Adams,IT,No,Male,Asian,No,No,41,Indonesian
3123,Jasmine,Ellison,Sales,Yes,Female,White,No,No,39,Canadian
3124,Madelyn,Collis,Operations,No,Male,White,No,No,59,Canadian
3125,Boris,Styles,Finance,No,Female,White,No,No,38,Canadian
3126,Oliver,Allen,IT,No,Male,White,No,No,40,Canadian
3127,Elijah,Higgs,Sales,No,Male,Asian,No,No,28,Kenyan
3128,Caitlyn,Archer,Sales,No,Male,White,No,No,57,Canadian
3129,Bryon,Farrell,Sales,No,Male,Middle Eastern,No,No,65,Chilean
3130,Tony,Harris,IT,No,Male,White,No,No,35,Canadian
3131,Skylar,Smith,IT,No,Male,White,No,No,34,Philippine
3132,Josh,Johnson,IT,No,Female,White,No,No,59,Canadian
3133,Shay,Mooney,Marketing,No,Male,White,No,No,25,Canadian
3134,Clarissa,Watson,Sales,No,Male,White,No,No,27,Mexican
3135,Margaret,James,Operations,No,Female,Asian,No,No,50,Canadian
3136,Harvey,Rothwell,Operations,No,Male,White,No,No,42,Chinese
3137,Harry,Addis,RD,No,Male,White,Yes,No,44,American
3138,Rhea,Nielson,Marketing,No,Male,Middle Eastern,No,No,43,Canadian
3139,Aiden,Holmes,IT,No,Female,White,No,No,35,Canadian
3140,Alan,James,RD,No,Female,White,No,Prefer not to say,33,Canadian
3141,Doris,Lee,Sales,No,Male,White,Yes,Yes,62,Indian
3142,Juliet,Riley,IT,No,Other,White,No,No,39,Indonesian
3143,Chloe,Lambert,Sales,No,Male,White,No,No,27,Canadian
3144,William,Kaur,Sales,Yes,Other,White,Yes,No,27,Bulgarian
3145,Sadie,Franks,Sales,No,Male,White,Yes,No,40,Canadian
3146,Carrie,Raven,IT,No,Female,Asian,No,No,34,Canadian
3147,Russel,Sinclair,IT,No,Male,Black,No,No,28,Colombian
3148,Bart,Oswald,Sales,No,Female,White,No,No,39,Canadian
3149,Ronald,Baldwin,HR,No,Male,White,No,No,33,Vietnamese
3150,Erick,Brown,Marketing,No,Female,White,No,No,39,American
3151,George,Emmett,Marketing,No,Male,White,No,No,38,German
3152,William,Greenwood,HR,No,Male,White,No,No,53,American
3153,Sabrina,Whinter,Operations,No,Male,White,Yes,No,31,Indian
3154,Jolene,Gilbert,Sales,Yes,Female,Asian,No,No,51,Canadian
3155,Bristol,Rosenbloom,IT,No,Male,Asian,No,No,26,Guatemalan
3156,Dakota,Myatt,Sales,No,Male,White,No,No,31,Canadian
3157,Susan,Morris,IT,No,Male,Asian,No,No,32,Canadian
3158,Benny,Potter,Marketing,No,Female,White,Yes,No,57,Canadian
3159,Jennifer,Robertson,Sales,No,Male,Asian,No,No,37,Canadian
3160,Mara,Hobson,Operations,No,Male,Black,No,No,25,Malaysian
3161,Selena,Allwood,Sales,No,Female,White,No,No,34,American
3162,Andie,Osmond,HR,No,Male,Black,No,No,65,Indian
3163,Jayden,Woods,Sales,Yes,Male,Middle Eastern,No,No,36,Moroccan
3164,Abdul,Summers,IT,No,Female,White,No,No,54,Canadian
3165,Logan,Williams,HR,No,Female,White,No,No,36,Indian
3166,Danny,Wilcox,Sales,No,Female,White,No,No,25,Canadian
3167,Carina,Newton,IT,Yes,Male,White,No,Prefer not to say,31,Canadian
3168,Julius,Exton,Marketing,No,Male,Latin,No,No,32,Vietnamese
3169,Vivian,Collins,Sales,No,Male,Asian,No,No,30,American
3170,Livia,Weldon,Sales,No,Female,White,No,No,34,German
3171,Henry,Vane,Sales,Yes,Male,White,No,No,33,Korean
3172,Stephanie,Palmer,IT,No,Male,White,No,No,31,Canadian
3173,Angela,Eastwood,Finance,No,Male,Asian,No,No,64,Canadian
3174,Anthony,Yang,Sales,No,Male,White,No,No,43,Canadian
3175,Jackeline,Lloyd,Marketing,No,Male,White,No,Yes,30,Canadian
3176,Marjorie,Mackenzie,Operations,No,Male,White,Yes,No,27,Canadian
3177,Danny,Sherry,Finance,No,Male,White,No,No,29,Chilean
3178,Dakota,Irving,Sales,Yes,Female,White,No,No,33,Jordanian
3179,Vicky,Ward,Operations,No,Female,White,No,No,30,Canadian
3180,Julia,Wood,Operations,No,Female,White,No,No,26,Canadian
3181,Nicholas,Miller,HR,No,Male,White,No,No,31,Russian
3182,Maxwell,Stewart,Sales,No,Female,White,Prefer not to say,No,29,American
3183,Adela,Shaw,Finance,No,Prefer not to say,Asian,No,No,46,Canadian
3184,Tom,Connor,Marketing,No,Male,White,No,No,44,German
3185,Josh,Kennedy,IT,No,Female,Asian,No,No,46,Philippine
3186,Eduardo,Clark,IT,No,Female,White,No,No,29,Canadian
3187,Alison,Blythe,RD,No,Male,White,No,No,41,American
3188,Jolene,Robinson,Marketing,No,Male,Asian,No,No,34,Canadian
3189,Peyton,Denton,Marketing,No,Female,White,No,No,33,American
3190,Nate,Chapman,IT,No,Female,White,Yes,No,58,Croatian
3191,Caleb,Mitchell,IT,No,Male,White,No,No,27,Canadian
3192,Harry,Lakey,Finance,No,Female,White,No,No,65,German
3193,Peter,Ramsey,Operations,No,Male,White,No,No,41,Indian
3194,Logan,Willson,Finance,No,Female,Asian,No,No,38,Indian
3195,Kieth,Holmes,IT,Yes,Female,White,No,No,38,Ethiopian
3196,Martin,Egerton,Operations,No,Female,White,No,No,43,Canadian
3197,Samara,Adams,Sales,No,Male,White,Yes,No,28,Indian
3198,Anthony,Miller,Sales,No,Male,White,No,No,41,Polish
3199,Peter,Gray,IT,No,Male,White,No,No,30,Canadian
3200,Phillip,Roth,RD,No,Male,White,No,No,53,Indian
3201,Winnie,Tait,IT,No,Male,White,Yes,No,39,Bangladeshi
3202,Lindsay,Overson,Marketing,No,Female,White,No,No,39,Malaysian
